payer_id,vyne_payer_id,insurance_name,features,alt_ids
96938,96938,Gateway Healthy Plan,ELIGIBILITY,
AARP1,AARP,AARP Dental Insurance Plan,"ELIGIBILITY
CLEARCOVERAGE",
AFLAC,AFLAC,Aflac Claims,ELIGIBILITY,
ARCMS,ARCMS,AR Medicare Advantage,ELIGIBILITY,
AULTC,AULTC,Aultcare,ELIGIBILITY,DX052
BBMDQ,BCBS_MICHIGAN,Blue Cross Blue Shield of Michigan/ Medicare Advantage,ELIGIBILITY,BCBSM
BCAFD,BCAFD,Blue Cross Blue Shield FEP Dental,ELIGIBILITY,
BME01,ANTHEM_BCBS_MAINE,Blue Cross Blue Shield of Maine,ELIGIBILITY,AD180
BNH01,ANTHEM_BCBS_NEW_HAMPSHIRE,Blue Cross Blue Shield of New Hampshire,ELIGIBILITY,AD270
BSCA2,BLUE_SHIELD_CALIFORNIA_FEDERAL,Blue Shield of California - Federal,ELIGIBILITY,WT002
CB870,BCBS_RHODE_ISLAND,Blue Cross Blue Shield of Rhode Island,"ELIGIBILITY
CLEARCOVERAGE",53473
CBAL1,BCBS_ALABAMA,Blue Cross Blue Shield of Alabama,ELIGIBILITY,"ALBLS
07600"
CBIA2,CBIA2,Blue Cross Blue Shield of Iowa,ELIGIBILITY,88848
CBMA1,BCBS_MASSACHUSETTS,Blue Cross Blue Shield of Massachusetts,ELIGIBILITY,"38004
04210"
CBTN1,BCBS_TENNESSEE,Blue Cross Blue Shield of Tennessee,ELIGIBILITY,"00390
00890
67004"
CDCA1,TRICARE_RETIREE_DENTAL_PROGRAM,Delta Dental CA FED Govt Prgm,"ELIGIBILITY
CLEARCOVERAGE","DD_TRICARE
37004
DDPFS
DDCA1"
CDCA2,DELTACARE_CLAIMS,DeltaCare USA / PMI - Claim,ELIGIBILITY,"DDCA2
DDCA3"
CDCAP,DELTACARE_USA_ENCOUNTERS,DeltaCare USA / PMI - Encounters,ELIGIBILITY,DDCA3
CDIA1,DD_IOWA,Delta Dental of Iowa,ELIGIBILITY,
CDIAM,DD_IOWA_GOVERNMENT,Delta Dental of Iowa - DWP,ELIGIBILITY,
CDKS1,DD_KS,Delta Dental of Kansas,"ELIGIBILITY
CLEARCOVERAGE","DDPKS
E3960"
CDKY1,DD_KY,Delta Dental of Kentucky,"ELIGIBILITY
CLEARCOVERAGE","DDKY
17004"
CDMN1,DD_MINNESOTA,Delta Dental of Minnesota,"ELIGIBILITY
CLEARCOVERAGE","DD_NORTH_DAKOTA
3M
07000
07029
CDND1
0700
DDMN
DDND
7000
TFZ37
TFZ08
07000D
R7005
26004
MHP01
TLZ37
DDMN1"
CDOR1,CDOR1,Delta Dental of Oregon,"ELIGIBILITY
CLEARCOVERAGE","DDAK1
13350
25004
CD0R1"
CDVA1,DD_VIRGINIA,Delta Dental of Virginia,"ELIGIBILITY
CLEARCOVERAGE",54084
CKAL1,MEDICAID_ALABAMA,Medicaid of Alabama,ELIGIBILITY,CXAL1
CKCT1,MEDICAID_CONNECTICUT,Medicaid of Connecticut,ELIGIBILITY,
CKIN1,MEDICAID_INDIANA,Medicaid of Indiana,ELIGIBILITY,
CKMA1,MEDICAID_MA,Medicaid of Massachusetts (Mass Health),ELIGIBILITY,
CKMI1,MEDICAID_MICHIGAN,Medicaid of Michigan,ELIGIBILITY,
CKMN1,MEDICAID_MINNESOTA,Medicaid of Minnesota,ELIGIBILITY,"DHS01
MNMA1"
CKMS1,MEDICAID_MS,Medicaid of Mississippi,ELIGIBILITY,E3240
CKNC1,MEDICAID_NC,Medicaid of North Carolina,ELIGIBILITY,"TLY55
DNC00"
CKNY1,MEDICAID_NEW_YORK,Medicaid of New York,ELIGIBILITY,
CKOH1,MEDICAID_OH,Medicaid of Ohio,ELIGIBILITY,MMISODJFS
CKPA1,MEDICAID_PA,Medicaid of Pennsylvania,ELIGIBILITY,
CKUT1,MEDICAID_UTAH,Medicaid of Utah,ELIGIBILITY,
